Exp,Treatment,Prey,Rep,TargetMR,TargetHP,ExpDay,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
2,1,0,C,1000,0,8,mh113023.005,11/30/23,67541,48,1539,2486,2545,947,1006,0.381,0.395,131.7,0.37,0.61,667,0.28,5176,0.12,60000,--------,-------,2088,8809,0,1587,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1463.4,0.93,48,67.9,478.8,0.07
2,1,0,C,1000,0,8,mh113023.006,11/30/23,67564,73,1762,2652,2743,890,981,0.336,0.358,126.1,0.36,0.52,671,0.36,6636,0.11,60000,--------,-------,3115,9549,0,1812,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1600.4,0.85,73,91,321,0
2,1,0,C,1000,0,8,mh113023.007,11/30/23,67587,98,1823,2590,2669,767,846,0.296,0.317,121,0.33,0.51,742,0.41,8288,0.09,60000,--------,-------,4103,8937,0,1867,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1609.4,0.78,98,107.7,243.7,0.03
2,1,0,C,1000,0,8,mh113023.008,11/30/23,67610,123,1853,2517,2583,664,730,0.264,0.283,118.6,0.33,0.48,855,0.47,9660,0.05,60000,--------,-------,5202,7833,0,1881,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1599.1,0.72,123,120.5,192.2,0.06
2,1,0,C,1000,0,8,mh113023.009,11/30/23,67633,148,1852,2413,2489,561,638,0.233,0.256,119,0.36,0.44,837,0.47,9373,0.09,60000,--------,-------,5203,10163,0,1885,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1575.1,0.67,148,127.8,192.2,0.1
2,1,0,C,1000,0,8,mh113023.010,11/30/23,67656,173,1897,2400,2460,503,563,0.21,0.229,113.1,0.32,0.42,844,0.51,8545,0.08,60000,--------,-------,5081,9272,0,1922,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1607.8,0.63,173,134.6,196.8,0.11
2,1,0,C,1000,0,8,mh113023.011,11/30/23,67679,198,1954,2410,2470,456,516,0.189,0.209,115.2,0.39,0.37,854,0.55,8579,0.08,60000,--------,-------,5463,9872,0,1978,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1642.3,0.59,198,139.1,183.1,0.1
2,1,0,C,1000,0,8,mh113023.012,11/30/23,67701,223,1929,2341,2406,412,477,0.176,0.198,112.4,0.41,0.35,700,0.61,8189,0.03,91919,--------,-------,5459,8284,0,1946,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1622.3,0.57,223,145.8,183.2,0.14
2,1,0,C,1000,0,8,mh113023.013,11/30/23,67724,248,1904,2304,2364,400,460,0.174,0.195,110.3,0.33,0.38,782,0.58,8244,0.04,121387,--------,-------,5293,10138,0,1926,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1602.7,0.57,248,160.1,188.9,0.15
2,1,0,C,1000,0,8,mh113023.014,11/30/23,67747,273,1962,2327,2380,364,418,0.157,0.176,106.2,0.34,0.38,764,0.57,8167,0.05,60000,--------,-------,5184,7965,0,1977,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1646.3,0.54,273,158.8,192.9,0.14
2,1,0,C,1000,0,8,mh113023.015,11/30/23,67770,298,1997,2346,2388,349,391,0.149,0.164,103.2,0.38,0.34,973,0.57,8290,0.09,60000,--------,-------,5559,10188,0,2016,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1670.7,0.52,298,164.4,179.9,0.13
2,1,0,D,1000,0,8,mh113023.016,11/30/23,67851,0,1090,2050,2102,959,1011,0.468,0.481,134.1,0.39,0.55,411,0.34,2223,0.1,60000,--------,-------,1105,7057,0,1148,0.05,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1164.1,1,0,0,905.1,0
2,1,0,D,1000,0,8,mh113023.017,11/30/23,67874,12,1155,1975,2017,820,862,0.415,0.427,133.6,0.43,0.59,536,0.32,3020,0.09,60000,--------,-------,1410,6970,0,1197,0.04,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1165.8,1.01,12,17.5,709,0.04
2,1,0,D,1000,0,8,mh113023.018,11/30/23,67897,24,1174,1992,2021,818,847,0.411,0.419,127.1,0.36,0.63,651,0.26,4302,0.11,60000,--------,-------,1726,8363,0,1217,0.04,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1156.1,0.98,24,34.7,579.3,0.03
2,1,0,D,1000,0,8,mh113023.019,11/30/23,67920,36,1145,1879,1897,733,752,0.39,0.396,128.4,0.38,0.64,789,0.24,6924,0.12,60000,--------,-------,2446,9486,0,1187,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1101.2,0.94,36,49.5,408.8,0.09
2,1,0,D,1000,0,8,mh113023.020,11/30/23,67943,48,1156,1851,1869,695,713,0.375,0.381,125.4,0.36,0.6,753,0.28,6876,0.12,60000,--------,-------,2715,9456,0,1190,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1084,0.91,48,63.4,368.4,0.11
2,1,0,D,1000,0,8,mh113023.021,11/30/23,67966,73,1304,1952,2009,648,705,0.332,0.351,119.7,0.34,0.52,670,0.38,7172,0.09,60000,--------,-------,3432,8796,0,1338,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1182.5,0.84,73,85.3,291.4,0.05
2,1,0,D,1000,0,8,mh113023.022,11/30/23,67988,98,1515,2128,2204,613,689,0.288,0.313,118.3,0.35,0.5,798,0.44,9780,0.06,60000,--------,-------,4968,8302,0,1545,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1313.8,0.75,98,99.4,201.3,-0.04
2,1,0,D,1000,0,8,mh113023.023,11/30/23,68011,123,1569,2135,2214,566,645,0.265,0.291,114,0.32,0.47,714,0.45,8593,0.08,60000,--------,-------,4598,8900,0,1600,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1344.9,0.72,123,114.8,217.5,-0.04
2,1,0,D,1000,0,8,mh113023.024,11/30/23,68034,148,1690,2216,2293,526,603,0.237,0.263,115.7,0.35,0.42,720,0.53,8306,0.05,60000,--------,-------,4950,7757,0,1714,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1427.4,0.67,148,123.7,202,-0.08
2,1,0,D,1000,0,8,mh113023.025,11/30/23,68057,173,1639,2065,2126,426,487,0.206,0.229,119.7,0.41,0.39,844,0.56,9299,0.04,60000,--------,-------,5816,8144,0,1657,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1372.2,0.62,173,125.6,171.9,-0.01
2,1,0,D,1000,0,8,mh113023.026,11/30/23,68080,198,1787,2219,2271,431,484,0.194,0.213,106.2,0.32,0.39,853,0.56,8487,0.05,60000,--------,-------,5385,8157,0,1805,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1497.4,0.6,198,135.5,185.7,-0.08
2,1,0,D,1000,0,8,mh113023.027,11/30/23,68103,223,1669,2021,2060,352,390,0.174,0.19,114.2,0.37,0.37,936,0.57,9695,0.06,60000,--------,-------,6272,9641,0,1687,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1384.4,0.55,223,136.7,159.4,0.01
2,1,0,D,1000,0,8,mh113023.028,11/30/23,68126,248,1618,1917,1956,299,338,0.156,0.173,111.2,0.41,0.36,1011,0.58,10216,0.07,60000,--------,-------,6703,10299,0,1632,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1330.5,0.51,248,136.3,149.2,0.07
2,1,0,D,1000,0,8,mh113023.029,11/30/23,68149,273,1656,1951,1993,295,337,0.151,0.169,100.1,0.37,0.32,800,0.62,8456,0.06,60000,--------,-------,5834,9220,0,1669,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1370.4,0.51,273,145.4,171.4,0.05
2,1,0,D,1000,0,8,mh113023.030,11/30/23,68172,298,1820,2119,2170,299,350,0.141,0.161,103.2,0.33,0.29,680,0.66,8189,0.05,101832,--------,-------,5919,10736,0,1836,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1474,0.46,298,148.1,169,-0.03
2,1,0,E,1000,0,8,mh113023.031,11/30/23,68209,0,1347,2564,2659,1216,1312,0.474,0.493,135.3,0.41,0.58,444,0.34,2669,0.09,77358,--------,-------,1265,8011,0,1421,0.05,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1443.1,1,0,0,790.5,0
2,1,0,E,1000,0,8,mh113023.032,11/30/23,68232,12,1402,2430,2520,1028,1118,0.423,0.444,134.5,0.41,0.59,542,0.31,3045,0.1,60000,--------,-------,1400,7050,0,1455,0.04,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1420,1.02,12,17.8,714.1,0.05
2,1,0,E,1000,0,8,mh113023.033,11/30/23,68255,24,1328,2232,2269,905,941,0.405,0.415,128,0.36,0.65,735,0.25,5625,0.1,60000,--------,-------,2096,8080,0,1375,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1314.1,0.99,24,34.1,477,0.15
2,1,0,E,1000,0,8,mh113023.034,11/30/23,68278,36,1425,2308,2360,883,935,0.383,0.396,128.9,0.38,0.6,722,0.28,6501,0.12,60000,--------,-------,2557,9664,0,1472,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1364.3,0.94,36,48.2,391,0.11
2,1,0,E,1000,0,8,mh113023.035,11/30/23,68301,48,1537,2429,2495,891,957,0.367,0.384,129,0.4,0.6,802,0.3,7116,0.1,60000,--------,-------,2878,8701,0,1582,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1445.2,0.91,48,61.7,347.4,0.06
2,1,0,E,1000,0,8,mh113023.036,11/30/23,68324,73,1817,2695,2789,878,972,0.326,0.349,120.2,0.33,0.55,817,0.38,9606,0.07,60000,--------,-------,4381,8370,0,1860,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1624.1,0.82,73,83.3,228.3,-0.05
2,1,0,E,1000,0,8,mh113023.037,11/30/23,68347,98,1866,2599,2678,733,811,0.282,0.303,121,0.36,0.49,886,0.42,9658,0.09,60000,--------,-------,4919,9837,0,1908,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1623.1,0.75,98,96.8,203.3,-0.01
2,1,0,E,1000,0,8,mh113023.038,11/30/23,68370,123,1863,2504,2593,641,729,0.256,0.281,120.4,0.36,0.46,823,0.46,9548,0.09,60000,--------,-------,5184,9871,0,1900,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1594.4,0.7,123,110.2,192.9,0.02
2,1,0,E,1000,0,8,mh113023.039,11/30/23,68393,148,1918,2512,2602,595,684,0.237,0.263,114.3,0.33,0.43,806,0.48,8784,0.08,60000,--------,-------,5012,9503,0,1953,0.02,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1627.4,0.67,148,122.7,199.5,0.02
2,1,0,E,1000,0,8,mh113023.040,11/30/23,68416,173,1978,2518,2602,540,625,0.215,0.24,113.3,0.33,0.43,816,0.51,9640,0.06,60000,--------,-------,5620,8983,0,2005,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1660.1,0.63,173,130,177.9,0.02
2,1,0,E,1000,0,8,mh113023.041,11/30/23,68438,198,2000,2467,2553,467,553,0.189,0.217,114.5,0.37,0.38,785,0.55,8692,0.07,60000,--------,-------,5446,9526,0,2026,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1678.4,0.59,198,131.3,183.6,0.04
2,1,0,E,1000,0,8,mh113023.042,11/30/23,68461,223,2002,2427,2498,425,496,0.175,0.199,117.8,0.4,0.37,853,0.57,8969,0.06,60000,--------,-------,5760,8903,0,2022,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1673.5,0.56,223,136.8,173.6,0.06
2,1,0,E,1000,0,8,mh113023.043,11/30/23,68484,248,2029,2429,2496,400,467,0.165,0.187,114.2,0.38,0.34,777,0.6,8473,0.06,133021,--------,-------,5682,12970,0,2055,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1690.6,0.54,248,143.2,176,0.06
2,1,0,E,1000,0,8,mh113023.044,11/30/23,68507,273,2063,2446,2506,383,442,0.157,0.177,101.9,0.33,0.35,804,0.59,8836,0.06,108625,--------,-------,5838,11669,0,2086,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1713,0.52,273,149.7,171.3,0.05
2,1,0,E,1000,0,8,mh113023.045,11/30/23,68530,298,2151,2515,2572,364,421,0.145,0.164,103.9,0.32,0.35,918,0.57,9151,0.08,172954,--------,-------,5981,19494,0,2182,0.01,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1784.1,0.5,298,151.1,167.2,0.02
2,2,5,C,1000,5000,8,mh113023.046,11/30/23,68617,0,1857,3497,3665,1640,1808,0.469,0.493,141.3,0.39,0.59,463,0.32,2776,0.09,60000,--------,-------,1268,6662,0,1953,0.05,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2020.3,1,0,0,788.8,0
2,2,5,C,1000,5000,8,mh113023.047,11/30/23,68640,12,2423,4112,4290,1690,1867,0.411,0.435,136,0.38,0.63,605,0.26,3663,0.11,60000,--------,-------,1489,8048,0,2519,0.04,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2466.4,1.03,12,18.2,671.7,1.05
2,2,5,C,1000,5000,8,mh113023.048,11/30/23,68663,24,2251,3729,3849,1478,1598,0.396,0.415,127.6,0.33,0.64,793,0.26,8189,0.1,60000,--------,-------,2918,8387,0,2330,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2209.5,0.97,24,35.2,342.7,1.26
2,2,5,C,1000,5000,8,mh113023.049,11/30/23,68686,36,2354,3758,3890,1404,1536,0.374,0.395,131.9,0.35,0.62,786,0.28,8431,0.11,60000,--------,-------,3156,9226,0,2436,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2242.8,0.93,36,49.7,316.9,1.24
2,2,5,C,1000,5000,8,mh113023.050,11/30/23,68709,48,2364,3659,3787,1295,1423,0.354,0.376,128.8,0.36,0.59,771,0.29,8638,0.11,60000,--------,-------,3387,9812,0,2437,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2201,0.89,48,62.8,295.3,1.3
2,2,5,C,1000,5000,8,mh113023.051,11/30/23,68732,73,2425,3485,3632,1060,1207,0.304,0.332,124.6,0.36,0.52,756,0.41,9590,0.07,60000,--------,-------,4675,8756,0,2479,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2161.5,0.8,73,82.1,213.9,1.42
2,2,5,C,1000,5000,8,mh113023.052,11/30/23,68755,98,2666,3636,3768,970,1101,0.267,0.292,117.2,0.33,0.49,867,0.46,10429,0.05,60000,--------,-------,5480,8443,0,2713,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2311.6,0.73,98,96.7,182.5,1.32
2,2,5,C,1000,5000,8,mh113023.053,11/30/23,68778,123,2892,3753,3874,861,982,0.229,0.254,117.6,0.38,0.42,898,0.5,9895,0.08,60000,--------,-------,5757,9965,0,2938,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2457.9,0.67,123,104.4,173.7,1.25
2,2,5,C,1000,5000,8,mh113023.054,11/30/23,68800,148,2818,3584,3703,766,885,0.214,0.239,112.3,0.29,0.43,821,0.49,9415,0.08,60000,--------,-------,5427,9635,0,2865,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2390,0.64,148,117.1,184.3,1.35
2,2,5,C,1000,5000,8,mh113023.055,11/30/23,68823,173,2788,3414,3521,626,733,0.183,0.208,118.1,0.38,0.39,892,0.54,9702,0.07,60000,--------,-------,5966,9729,0,2823,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2350.4,0.59,173,117.3,167.6,1.47
2,2,5,C,1000,5000,8,mh113023.056,11/30/23,68846,198,2925,3530,3640,605,715,0.171,0.196,108.6,0.36,0.37,821,0.56,9383,0.06,60000,--------,-------,5969,9379,0,2956,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2437.7,0.55,198,125.6,167.5,1.39
2,2,5,C,1000,5000,8,mh113023.057,11/30/23,68869,223,2972,3503,3601,531,630,0.152,0.175,115.2,0.4,0.35,878,0.6,9579,0.05,60000,--------,-------,6365,9165,0,2997,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2482.6,0.52,223,125.1,157.1,1.41
2,2,5,C,1000,5000,8,mh113023.058,11/30/23,68892,248,2968,3473,3556,505,587,0.145,0.165,108.6,0.39,0.33,858,0.6,9350,0.06,60000,--------,-------,6319,9688,0,2995,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2477.7,0.51,248,133.4,158.3,1.43
2,2,5,C,1000,5000,8,mh113023.059,11/30/23,68915,273,2748,3169,3254,421,506,0.133,0.156,117.2,0.46,0.31,822,0.61,9454,0.08,60000,--------,-------,6515,10904,0,2772,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2283.1,0.48,273,134.2,153.5,1.66
2,2,5,C,1000,5000,8,mh113023.060,11/30/23,68938,298,2820,3214,3277,394,458,0.123,0.14,114.4,0.48,0.27,859,0.61,8950,0.12,60000,--------,-------,6466,13134,0,2845,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2345.9,0.45,298,135.3,154.7,1.62
2,2,5,D,1000,5000,8,mh113023.061,11/30/23,68979,0,1920,3753,3887,1833,1967,0.488,0.506,138,0.39,0.55,422,0.36,2281,0.09,60000,--------,-------,1155,6504,0,2019,0.05,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2054.4,1,0,0,866,0
2,2,5,D,1000,5000,8,mh113023.062,11/30/23,69002,12,2150,3738,3826,1588,1676,0.425,0.438,131.8,0.36,0.69,754,0.21,5589,0.1,60000,--------,-------,1882,7973,0,2238,0.04,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2200.3,1.03,12,17.7,531.5,0
2,2,5,D,1000,5000,8,mh113023.063,11/30/23,69024,24,2269,3762,3913,1493,1645,0.397,0.42,126.3,0.34,0.61,798,0.26,7303,0.13,60000,--------,-------,2748,10028,0,2354,0.04,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2199.3,0.96,24,33.1,363.9,0
2,2,5,D,1000,5000,8,mh113023.064,11/30/23,69047,36,2396,3748,3912,1352,1516,0.361,0.388,128.4,0.37,0.58,814,0.32,9483,0.1,60000,--------,-------,3877,9237,0,2472,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2255.3,0.91,36,45.1,257.9,0
2,2,5,D,1000,5000,8,mh113023.065,11/30/23,69070,48,2477,3806,3946,1329,1469,0.349,0.372,127.4,0.36,0.58,836,0.34,10552,0.08,60000,--------,-------,4435,9137,0,2547,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2283.1,0.87,48,58.2,225.5,-0.01
2,2,5,D,1000,5000,8,mh113023.066,11/30/23,69093,73,2674,3801,3959,1127,1286,0.297,0.325,118.4,0.34,0.49,778,0.43,9821,0.08,60000,--------,-------,4979,9587,0,2738,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2361,0.78,73,75.2,200.8,-0.01
2,2,5,D,1000,5000,8,mh113023.067,11/30/23,69116,98,2876,3837,4005,961,1129,0.25,0.282,114.9,0.36,0.45,824,0.48,10288,0.06,60000,--------,-------,5696,9171,0,2926,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2471.5,0.7,98,85.2,175.6,-0.02
2,2,5,D,1000,5000,8,mh113023.068,11/30/23,69139,123,3055,3935,4081,880,1027,0.224,0.252,116.4,0.36,0.41,867,0.54,10064,0.05,60000,--------,-------,6118,8848,0,3098,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2603.5,0.66,123,95.5,163.5,-0.05
2,2,5,D,1000,5000,8,mh113023.069,11/30/23,69162,148,2920,3628,3758,708,838,0.195,0.223,115.2,0.37,0.4,855,0.54,9917,0.06,60000,--------,-------,6058,9557,0,2958,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2465.8,0.61,148,100.2,165.1,0.03
2,2,5,D,1000,5000,8,mh113023.070,11/30/23,69185,173,2965,3618,3737,653,772,0.18,0.207,112,0.35,0.38,834,0.56,9884,0.06,60000,--------,-------,6211,9491,0,3000,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2491.8,0.58,173,108.4,161,0.04
2,2,5,D,1000,5000,8,mh113023.071,11/30/23,69208,198,3122,3703,3801,581,679,0.157,0.179,110.2,0.38,0.34,866,0.59,9349,0.07,60000,--------,-------,6284,10140,0,3153,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2618.4,0.54,198,107.9,159.1,0.01
2,2,5,D,1000,5000,8,mh113023.072,11/30/23,69231,223,3209,3766,3878,557,669,0.148,0.173,108.8,0.34,0.32,667,0.55,8159,0.13,60000,--------,-------,5404,12432,0,3251,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2680.8,0.51,223,114.5,185,0
2,2,5,D,1000,5000,8,mh113023.073,11/30/23,69253,248,3117,3589,3676,473,560,0.132,0.152,111.1,0.4,0.34,889,0.58,9872,0.08,60000,--------,-------,6569,11013,0,3145,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2606.2,0.48,248,113.4,152.2,0.05
2,2,5,D,1000,5000,8,mh113023.074,11/30/23,69276,273,3087,3542,3620,455,533,0.128,0.147,110.2,0.39,0.3,813,0.63,9229,0.07,122998,--------,-------,6496,15055,0,3120,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2580.5,0.47,273,121.6,153.9,0.06
2,2,5,D,1000,5000,8,mh113023.075,11/30/23,69299,298,3142,3553,3636,411,494,0.116,0.136,112.4,0.45,0.29,817,0.62,8942,0.1,60000,--------,-------,6349,11512,0,3167,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2625.9,0.44,298,119.8,157.5,0.06
2,3,10,C,1000,10000,8,mh113023.076,11/30/23,69368,0,2103,4096,4284,1993,2181,0.487,0.509,141.5,0.41,0.53,380,0.38,2190,0.09,60000,--------,-------,1138,6461,0,2211,0.05,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2246,1,0,0,878.6,0
2,3,10,C,1000,10000,8,mh113023.077,11/30/23,69391,12,2272,3926,4056,1653,1784,0.421,0.44,130.4,0.36,0.65,697,0.23,4611,0.12,60000,--------,-------,1729,8859,0,2367,0.04,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2328.3,1.03,12,18,578.4,0.04
2,3,10,C,1000,10000,8,mh113023.078,11/30/23,69414,24,2384,3948,4115,1563,1731,0.396,0.421,125.1,0.32,0.64,813,0.26,9497,0.11,60000,--------,-------,3299,9463,0,2469,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2330.9,0.97,24,33.9,303.1,0.04
2,3,10,C,1000,10000,8,mh113023.079,11/30/23,69437,36,2452,3869,4018,1417,1566,0.366,0.39,123.2,0.33,0.6,818,0.28,10239,0.12,60000,--------,-------,3810,10354,0,2536,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2326.2,0.92,36,47.1,262.5,0.06
2,3,10,C,1000,10000,8,mh113023.080,11/30/23,69460,48,2548,3864,4022,1316,1473,0.341,0.366,122.2,0.33,0.58,796,0.33,11260,0.09,60000,--------,-------,4642,9674,0,2623,0.03,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2348.5,0.87,48,58.4,215.4,0.06
2,3,10,C,1000,10000,8,mh113023.081,11/30/23,69482,73,2582,3659,3801,1078,1220,0.295,0.321,115.7,0.31,0.51,797,0.43,10900,0.06,60000,--------,-------,5453,8779,0,2638,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2313.2,0.8,73,76.8,183.4,0.12
2,3,10,C,1000,10000,8,mh113023.082,11/30/23,69505,98,2795,3743,3872,948,1077,0.253,0.278,111.8,0.32,0.46,845,0.48,11177,0.06,60000,--------,-------,6146,9511,0,2844,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2426.9,0.72,98,88.7,162.7,0.09
2,3,10,C,1000,10000,8,mh113023.083,11/30/23,69528,123,2929,3724,3849,795,920,0.213,0.239,118.6,0.4,0.41,863,0.53,11252,0.06,60000,--------,-------,6756,9926,0,2970,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2513.1,0.66,123,93.8,148,0.1
2,3,10,C,1000,10000,8,mh113023.084,11/30/23,69551,148,3123,3865,4002,743,879,0.192,0.22,107.6,0.32,0.39,739,0.54,9513,0.07,60000,--------,-------,5801,9743,0,3162,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2659,0.62,148,101.5,172.4,0.06
2,3,10,C,1000,10000,8,mh113023.085,11/30/23,69574,173,3239,3915,4032,676,793,0.173,0.197,114.2,0.36,0.38,866,0.58,10624,0.04,60000,--------,-------,6781,8959,0,3272,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2749.5,0.58,173,106.7,147.5,0.05
2,3,10,C,1000,10000,8,mh113023.086,11/30/23,69597,198,3073,3672,3769,600,696,0.163,0.185,106.8,0.36,0.37,909,0.57,10287,0.06,60000,--------,-------,6589,9676,0,3103,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2593.7,0.56,198,115.5,151.8,0.12
2,3,10,C,1000,10000,8,mh113023.087,11/30/23,69620,223,3121,3672,3758,550,637,0.15,0.17,106.8,0.35,0.36,916,0.56,9619,0.08,60000,--------,-------,6208,10607,0,3151,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2633.2,0.53,223,119.4,161.1,0.12
2,3,10,C,1000,10000,8,mh113023.088,11/30/23,69643,248,3159,3678,3768,518,608,0.141,0.161,109.3,0.41,0.33,867,0.59,9254,0.08,60000,--------,-------,6287,10591,0,3189,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2668.1,0.51,248,124.8,159,0.11
