Treat,Rep,TargetMR,TargetHP,MR_D0,MR_D1,MR_D2,MR_D3,MR_D4,MR_D6,MR_D8,,,,HP_D0,HP_D1,HP_D2,HP_D3,HP_D4,HP_D6,HP_D8,,,R_D0,R_D1,R_D2,R_D3,R_D4,R_D6,,,,Mu_MR_0to2,Mu_HP_0to2,Mu_MR_0to6,Mu_HP_0to6,,Chl_date,Chl_volculture,Chl_volextr,Chl_reading,Chl_pg_p_cell,CorrChl,,Chl_date_rep,Chl_vol_rep,Chl_extr_rep,Chl_read_rep,Chl_pcell_rep
3,D,1000,10000,910,1100,1183,1275,1733,1592,1742,,,,3580,3050,6883,4583,4717,3783,1317,,,3.93,2.77,5.82,3.59,2.72,2.38,,,,0.1313,0.32687,0.09318,0.00921,,8,2,5,7.75,11.12440,11.12440,,,,,,
4,A,0,20000,0,0,0,0,0,0,0,,,,5360,5010,16500,23800,95556,230556,546667,,,,,,,,,,,,,0.56220,,,,8,1,5,45.01,0.41168,0.41168,,,,,,
4,B,0,20000,0,0,0,0,0,0,0,,,,6575,6813,17700,24167,100556,276667,483333,,,,,,,,,,,,,0.49515,,,,8,1,5,38.88,0.40221,0.40221,,,,,,
4,C,1000,20000,1017,1392,1217,1658,1980,2450,2133,,,,7983,7117,9317,6375,4317,2425,1050,,,7.85,5.11,7.66,3.84,2.18,0.99,,,,0.0898,0.07722,0.14659,-0.19859,,8,2,5,14.71,17.23828,17.23828,,,,,,
4,D,1000,20000,933,1275,1225,1467,1870,1640,2433,,,,8650,7650,9567,3667,4250,3250,1090,,,9.27,6.00,7.81,2.50,2.27,1.98,,,,0.1360,0.05036,0.09395,-0.16315,,8,2,5,15.77,16.20205,16.20205,,,,,,
5,A,0,30000,0,0,0,0,0,0,0,,,,7300,10350,25417,87222,135000,323889,672500,,,,,,,,,,,,,0.62377,,,,8,0.25,5,17.59,0.52312,0.52312,,,,,,
5,B,0,30000,0,0,0,0,0,0,0,,,,8667,10633,25167,84444,148333,351111,754167,,,,,,,,,,,,,0.53302,,,,8,0.25,5,18.59,0.49299,0.49299,,,,,,
5,C,1000,30000,917,1333,1750,1708,1720,2000,2780,,,,9367,13975,15225,7767,3350,1675,2017,,,10.22,10.48,8.70,4.55,1.95,0.84,,,,0.3233,0.24289,0.13003,-0.28689,,8,2,5,15.43,13.87590,13.87590,,,,,,
5,D,1000,30000,1108,1517,1650,1867,2383,2190,2570,,,,9217,12333,14750,6917,6688,1963,2017,,,8.32,8.13,8.94,3.71,2.81,0.90,,,,0.1990,0.23511,0.11351,-0.25780,,8,2,5,13.72,13.34630,13.34630,,,,,,
6,A,0,40000,0,0,0,0,0,0,0,,,,7675,11817,31833,101111,220556,484167,853333,,,,,,,,,,,,,0.71127,,,,8,0.25,5,19.13,0.44836,0.44836,,,,,,
6,B,0,40000,0,0,0,0,0,0,0,,,,8975,17350,36333,133889,271667,474444,914000,,,,,,,,,,,,,0.69915,,,,8,0.25,5,18.81,0.41160,0.41160,,,,,,
6,C,1000,40000,1075,1333,1950,2083,2183,2075,2158,,,,12167,17083,17775,9525,9100,,2050,,,11.32,12.81,9.12,4.57,4.17,,,,,0.2978,0.18955,0.10961,#NUM!,,8,2,5,15.45,17.89575,17.89575,,,,,,
6,D,1000,40000,967,1067,1817,1975,2460,2308,2750,,,,13375,17083,13425,7633,9383,1950,2150,,,13.84,16.02,7.39,3.86,3.81,0.84,,,,0.3155,0.00187,0.14507,-0.32093,,8,2,5,15.73,14.30000,14.30000,,,,,,
7,A,0,61623,0,0,0,0,0,0,0,,,,22825,35333,62000,221667,295556,604444,1360000,,,,,,,,,,,,,0.49964,,,,8,0.25,5,33.08,0.48647,0.48647,,,,,,
7,B,0,61623,0,0,0,0,0,0,0,,,,29167,21417,44000,217778,248889,570000,1225000,,,,,,,,,,,,,0.20558,,,,8,0.25,5,28.31,0.46220,0.46220,,,,,,
7,C,1000,61623,1158,1458,1575,2600,3110,3450,2542,,,,25917,28200,25083,14083,7250,4467,1533,,,22.37,19.34,15.93,5.42,2.33,1.29,,,,0.1536,-0.01634,0.18190,-0.29304,,8,2,5,14.77,14.52787,14.52787,,,,,,
7,D,1000,61623,1060,1542,1467,2333,2725,3488,3142,,,,22750,26083,21583,17583,9875,4850,1983,,,21.46,16.92,14.72,7.54,3.62,1.39,,,,0.1624,-0.02632,0.19849,-0.25760,,8,2,5,14.79,11.76923,11.76923,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AvgHP,0.50111,,,,,,,
